1,2,3,4,5,6,7
JT25_RS15060,1957,1533.94,1199.536,840.092,358.5525,411.198
JT25_RS15065,75.0825,46.542,48.93,38.256,50.15,18.996
JT25_RS15070,68.07,51.302,49.516,39.136,26.2275,37.036
JT25_RS15075,45.23,44.652,41.126,31.522,75.535,31.054
JT25_RS15080,205.0625,284.482,209.8,121.554,84.75,97.638
JT25_RS15085,32.125,30.768,27.764,15.434,11.1425,7.508
JT25_RS15090,11.8975,15.116,11.77,6.976,6.5275,2.306
JT25_RS15095,15.3,10.75,15.21,11.644,8.94,7.866
JT25_RS15100,85.9275,66.042,79.018,64.974,105.39,67.64
JT25_RS15105,55.91,42.932,53.928,42.778,61.93,114.352
JT25_RS15110,52.1,59.458,68.692,52.732,79.9425,121.07
JT25_RS15115,498.065,390.202,803.922,565.976,721.3975,1133.138
JT25_RS15120,19.5525,15.044,20.114,13.884,21.83,6.694
JT25_RS15125,13.24,9.448,15.44,12.026,15.2625,9.796
JT25_RS15130,2.3475,3.578,6.378,4.926,17.61,7.676
JT25_RS15135,2.3875,1.764,2.008,2.03,9.285,2.898
JT25_RS15140,6.975,8.376,8.824,5.866,28.8075,5.008
JT25_RS15145,11.185,15.394,16.406,4.8,20.255,29.352
JT25_RS15150,6.105,7.328,9.79,4.986,16.2575,36.084
JT25_RS15155,17.2575,13.386,19.844,14.694,18.8375,45.872
JT25_RS15165,12.3725,5.86,12.398,11.234,40.8225,45.038
JT25_RS15170,8.2775,6.256,11.86,12.954,40.0375,61.728
JT25_RS15175,6.145,4.53,7.408,9.666,19.45,31.456
JT25_RS15180,6.9,7.856,8.792,8.072,17.5,35.786
JT25_RS15185,2.79,2.972,3.244,4.664,41.07,10.824
JT25_RS15190,6.335,6.554,6.91,5.276,26.8675,7.608
JT25_RS15195,37.97,42.454,36.354,31.336,60.715,12.812
JT25_RS15200,37.01,42.172,29.274,30.886,48.4375,30.172
JT25_RS15205,1.4775,1.888,1.982,1.992,5.865,4.676
JT25_RS15210,2.615,2.242,3.048,1.834,21.0525,6.358
JT25_RS15215,1.28,1.088,2.13,1.512,5.7925,4.752
